required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,total_guests,total_nights,arrival_day_of_week,arrival_week_number
0,224,2017,10,2,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,0,40
0,5,2018,11,6,0,0,0,106.68,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,5,1,45
0,1,2018,2,28,0,0,0,60.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,2,9
0,211,2018,5,20,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,6,20
0,48,2018,4,11,0,0,0,94.5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,2,15
0,346,2018,9,13,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,2,2,3,37
0,34,2017,10,15,0,0,0,107.55,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,6,41
0,83,2018,12,26,0,0,0,105.61,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,4,2,52
0,121,2018,7,6,0,0,0,96.9,1,False,False,False,False,False,False,False,False,False,False,True,False,True,3,4,4,27
0,44,2018,10,18,0,0,0,133.44,3,False,False,False,False,True,False,False,False,False,False,False,True,True,2,5,3,42
0,0,2018,9,11,0,0,0,85.03,0,False,True,False,False,False,False,False,False,False,False,False,True,True,1,1,1,37
0,35,2018,4,30,0,0,0,140.4,1,False,False,False,False,True,False,False,False,False,False,False,True,True,1,3,0,18
0,30,2018,11,26,0,0,0,88.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,3,0,48
0,95,2018,11,20,0,0,0,90.0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2,1,47
0,47,2017,10,20,0,0,0,94.5,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,4,42
0,256,2018,6,15,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,2,2,4,24
0,0,2017,10,5,0,0,0,96.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,3,40
0,1,2017,8,10,0,0,0,96.0,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,3,32
0,99,2017,10,30,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,0,44
0,12,2017,10,4,0,0,0,72.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,2,40
0,99,2017,10,30,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,0,44
0,122,2018,11,25,0,0,0,67.0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,6,47
0,2,2018,3,20,0,0,0,85.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,6,1,12
0,37,2018,10,13,0,0,0,105.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,5,41
0,130,2018,5,22,0,0,0,94.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,3,1,21
0,99,2018,4,28,0,0,0,114.3,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,5,17
0,60,2017,9,21,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,3,38
0,2,2018,5,19,0,0,0,110.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,1,2,5,20
0,37,2017,11,6,0,0,0,37.33,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,0,45
0,56,2017,9,17,0,0,0,82.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,2,2,6,37
0,3,2017,9,19,0,0,0,177.5,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,2,1,38
0,107,2018,11,13,0,0,0,87.5,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,1,46
0,56,2018,12,7,0,0,0,82.44,1,False,False,True,False,False,False,False,False,False,False,False,True,True,2,3,4,49
0,2,2018,1,9,0,0,0,69.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,1,2
0,72,2018,10,7,0,0,0,85.5,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,6,40
1,23,2018,4,27,0,0,0,115.0,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,4,17
0,34,2018,6,19,0,0,0,81.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,1,25
0,289,2017,10,17,0,0,0,67.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,1,42
0,247,2018,11,19,0,0,0,63.75,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,5,0,47
0,186,2018,7,30,0,0,0,121.8,1,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,0,31
0,64,2018,11,1,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,3,44
0,35,2018,6,21,0,0,0,102.0,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,3,25
0,96,2018,4,10,0,0,0,121.8,1,False,False,False,False,False,False,False,False,False,False,False,True,True,3,3,1,15
0,41,2018,6,27,0,0,0,98.1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,2,26
0,55,2017,11,18,0,0,0,60.0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,2,4,5,46
0,146,2017,12,29,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,4,52
0,32,2017,11,20,0,0,0,73.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,0,47
0,55,2018,4,6,0,0,0,104.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,2,1,4,14
0,57,2018,11,1,0,0,0,79.2,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,3,44
0,7,2018,12,29,0,0,0,125.8,2,False,False,False,False,True,False,False,False,False,False,False,True,True,1,4,5,52
0,124,2018,5,30,0,0,0,87.95,0,False,True,False,False,False,False,False,False,False,False,False,True,True,1,7,2,22
0,169,2018,4,22,0,0,0,106.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2,4,6,16
0,6,2018,5,16,0,0,0,136.67,1,False,False,False,False,False,False,False,False,False,False,False,True,True,1,3,2,20
0,51,2017,11,11,0,0,0,60.0,1,False,False,False,False,True,False,False,False,False,False,True,False,True,2,4,5,45
0,13,2018,6,13,0,0,0,89.0,2,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,2,24
0,100,2018,5,19,0,0,0,136.0,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,5,20
0,139,2018,7,28,0,0,0,94.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,5,30
0,117,2018,12,26,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,2,52
0,39,2018,4,20,0,0,0,120.6,0,False,False,False,False,True,False,False,False,False,False,False,True,False,2,5,4,16
0,86,2018,4,6,0,0,0,99.3,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,4,14
0,19,2018,5,3,0,0,0,120.12,2,False,False,False,False,True,False,False,False,False,False,False,True,True,1,3,3,18
0,192,2018,6,24,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,2,6,25
0,86,2018,12,18,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,1,51
0,30,2018,10,5,0,0,0,157.5,2,False,False,False,False,True,False,False,False,False,False,False,True,True,2,3,4,40
0,179,2018,6,3,0,0,0,97.7,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,2,6,22
0,26,2018,4,15,0,0,0,142.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2,6,15
0,55,2018,4,6,0,0,0,80.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,4,14
0,74,2018,4,25,0,0,0,85.5,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,3,2,17
0,143,2018,8,25,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,5,34
0,34,2018,11,14,0,0,0,88.0,2,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,2,46
