required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,total_guests,total_nights,arrival_day_of_week,arrival_week_number,competitor_price_booking,competitor_price_expedia,competitor_price_hotels,competitor_price_trivago,competitor_min_price,competitor_max_price,competitor_avg_price,competitor_price_std,price_vs_competitors,price_advantage,is_cheapest,competitor_count,price_volatility,price_position_below,price_position_above
0,224,2017,10,2,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,0,40,64.49874955353614,74.9524377767769,67.77346954446527,73.40259118505745,64.49874955353614,74.9524377767769,70.15681201495894,4.872613980793681,-0.0735040813122951,-0.007771475415159823,0,4,0.06847712598154813,0,0
0,5,2018,11,6,0,0,0,106.68,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,5,1,45,134.13181301559254,125.82645712393817,127.13989014541119,119.12518267878391,119.12518267878391,134.13181301559254,126.55583574093146,6.150424085933778,-0.1570519101277847,0.10447146773610265,1,4,0.048217504516417556,1,0
0,1,2018,2,28,0,0,0,60.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,2,9,69.40303279399478,47.839753084375346,72.25737089176225,58.91823658868286,47.839753084375346,72.25737089176225,62.10459833970381,11.10532375851404,-0.03388796314552978,-0.25418707521708006,0,4,0.17598279762010388,0,0
0,211,2018,5,20,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,2,6,20,109.53829027306368,79.15361080723598,121.83407505253878,89.3618528832926,79.15361080723598,121.83407505253878,99.97195725403276,19.28250317086806,0.0002805061212914262,-0.2633662441948676,0,4,0.1909688956742287,0,0
0,48,2018,4,11,0,0,0,94.5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,2,2,15,84.27213030003271,75.55269901445129,96.86591138362589,114.61231034606097,75.55269901445129,114.61231034606097,92.82576276104271,16.955823149571952,0.018036342381233157,-0.2507825826569687,0,4,0.18071607041186943,0,0
0,346,2018,9,13,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,2,2,3,37,102.55211012578512,151.28605432514402,130.7240409479724,152.86755424223713,102.55211012578512,152.86755424223713,134.35743991028465,23.480367042198196,-0.1440741943520978,-0.12138111891551467,0,4,0.17346934943333045,1,0
0,34,2017,10,15,0,0,0,107.55,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,6,41,91.06457054479733,140.77656914454641,113.40479086919846,127.60839624657882,91.06457054479733,140.77656914454641,118.21358170128026,21.272393837609407,-0.09020606217842715,-0.18103011255176343,0,4,0.17843934838660214,0,0
0,83,2018,12,26,0,0,0,105.61,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,4,2,52,128.67955686743383,101.4526433309804,111.18033250533628,135.27519365248642,101.4526433309804,135.27519365248642,119.14693158905925,15.572907240945229,-0.11361544446439012,-0.04097829817461328,0,4,0.12961552188623118,1,0
0,121,2018,7,6,0,0,0,96.9,1,False,False,False,False,False,False,False,False,False,False,True,False,True,3,4,4,27,106.25210053344179,90.80791451792577,111.27115537184605,106.81688915446775,90.80791451792577,111.27115537184605,103.78701489442034,8.939168315310829,-0.06635719219235954,-0.06708760480202022,0,4,0.08530797756112832,0,0
0,44,2018,10,18,0,0,0,133.44,3,False,False,False,False,True,False,False,False,False,False,False,True,True,2,5,3,42,152.88399419930798,114.60063690102662,154.66796241062218,145.8472950265011,114.60063690102662,154.66796241062218,141.99997213436447,18.658915461647503,-0.06028150573342915,-0.16439143453664884,0,4,0.13048195173153856,0,0
0,0,2018,9,11,0,0,0,85.03,0,False,True,False,False,False,False,False,False,False,False,False,True,True,1,1,1,37,70.52973779298715,81.43627180450888,72.89821755652007,116.62495023639448,70.52973779298715,116.62495023639448,85.37229434760263,21.355130924672896,-0.004009431282342524,-0.20559075732810436,0,4,0.24724515061195237,0,0
0,35,2018,4,30,0,0,0,140.4,1,False,False,False,False,True,False,False,False,False,False,False,True,True,1,3,0,18,177.76865789203026,137.57528713437185,168.31604734800084,193.30779452213767,137.57528713437185,193.30779452213767,169.24194672413518,23.49116467104178,-0.17041842925115733,-0.02053212407886322,0,4,0.13798693637536655,1,0
0,30,2018,11,26,0,0,0,88.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,2,3,0,48,105.85727809960107,104.19839945238928,101.5963437891007,101.46959896003422,101.46959896003422,105.85727809960107,103.28040507528132,2.129011465641374,-0.14795066948220623,0.13274516799203556,1,4,0.02041621783214607,1,0
0,95,2018,11,20,0,0,0,90.0,2,False,False,False,False,False,False,False,False,False,False,False,True,False,1,2,1,47,82.59083918208063,112.3018666718991,100.51292185102487,91.35984611015229,82.59083918208063,112.3018666718991,96.69136845378924,12.721923088754387,-0.0692033690368875,-0.0897092327828884,0,4,0.130225661592326,0,0
0,47,2017,10,20,0,0,0,94.5,2,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,4,42,85.39393132449266,111.81589316040304,110.11631191219804,96.01308142087717,85.39393132449266,111.81589316040304,100.83480445449274,12.495336008342838,-0.06282359041368171,-0.10663601656779029,0,4,0.12270201799156663,0,0
0,256,2018,6,15,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,2,2,4,24,104.00209857124665,129.84610377803506,120.61055162658975,136.81352710254367,104.00209857124665,136.81352710254367,122.81807026960378,14.1913118546871,-0.06365570027636783,-0.10574691837799059,0,4,0.11461422249423427,0,0
0,0,2017,10,5,0,0,0,96.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,1,1,3,40,92.15533744909318,114.5842600481233,109.06632027739603,89.29298756705063,89.29298756705063,114.5842600481233,101.27472633541578,12.444248221296586,-0.052083343261241734,-0.07511242053484922,0,4,0.12167471541781463,0,0
0,1,2017,8,10,0,0,0,96.0,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,4,3,32,101.89324402087962,113.16370931922958,102.86401263118057,131.3790578156367,101.89324402087962,131.3790578156367,112.32500594673162,13.688101491983494,-0.1453372364340092,0.057837436402279986,1,4,0.12078624110920039,1,0
0,99,2017,10,30,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,0,44,66.21515605739926,67.39881424993686,68.30748391181557,78.87979599038718,66.21515605739926,78.87979599038718,70.2003125523847,5.849390225805904,-0.0740781965679161,0.018351630196958013,1,4,0.08215399646598871,0,0
0,12,2017,10,4,0,0,0,72.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,2,40,68.68550912335914,69.21790252769759,66.83722972261833,64.32872968906184,64.32872968906184,69.21790252769759,67.26734276568422,2.208794788049056,0.0703559415272473,-0.11925107720948112,0,4,0.032355071965088196,0,0
0,99,2017,10,30,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,0,44,71.59440155219914,60.62560316240374,75.63033146272116,65.72902715053552,60.62560316240374,75.63033146272116,68.39484083196488,6.584252172683234,-0.04963591976630902,-0.07215428151499183,0,4,0.09488100403063932,0,0
0,122,2018,11,25,0,0,0,67.0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1,6,47,59.23920078529593,76.83908052517245,78.8611625019154,62.29275895712459,59.23920078529593,78.8611625019154,69.3080506923771,9.976211909170473,-0.03330133612646744,-0.13100783116288126,0,4,0.14189288155377788,0,0
0,2,2018,3,20,0,0,0,85.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,6,1,12,81.12285575772702,110.33205931203584,102.79400803908781,72.24328745257064,72.24328745257064,110.33205931203584,91.62305264035534,17.89456722461769,-0.07228587620140282,-0.17657990101577853,0,4,0.1931977700421971,0,0
0,37,2018,10,13,0,0,0,105.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,3,5,41,103.7952770310853,114.84580256365024,93.92904217159871,123.27044154651098,93.92904217159871,123.27044154651098,108.96014082821131,12.80671003263344,-0.036344857836178315,-0.11786512001448698,0,4,0.1164668391307458,0,0
0,130,2018,5,22,0,0,0,94.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,3,1,21,97.31536221391455,120.27622742115975,90.51989170943035,81.32261546523326,81.32261546523326,120.27622742115975,97.35852420243447,16.624682926109617,-0.02936080046253401,-0.16203837591033077,0,4,0.16902127254262056,0,0
0,99,2018,4,28,0,0,0,114.3,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,2,5,17,135.00898169812186,90.03226523519227,126.14149159435435,117.70348223604329,90.03226523519227,135.00898169812186,117.22155519092794,19.45462712024981,-0.024923361460009473,-0.26954486484831697,0,4,0.16456074434844445,0,0
0,60,2017,9,21,0,0,0,65.0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,3,38,59.270246086534954,78.5859197004338,75.81826585596397,77.24071992282936,59.270246086534954,78.5859197004338,72.72878789144052,9.043243247335923,-0.10626861955924502,-0.09667167409933759,0,4,0.12265552582596832,1,0
0,2,2018,5,19,0,0,0,110.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,1,2,5,20,116.22026258372875,136.50399788282874,124.07807993624681,98.28703041725687,98.28703041725687,136.50399788282874,118.77234270501529,16.007535469107527,-0.07385846321817872,-0.11917105983381718,0,4,0.13364968161750113,0,0
0,37,2017,11,6,0,0,0,37.33,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,3,0,45,40.783424493585215,41.837099984036605,38.02318363863411,49.00703666015779,38.02318363863411,49.00703666015779,42.41268619410343,4.6811317694056855,-0.11983881829229834,0.018230552318343727,1,4,0.10782865977184118,1,0
0,56,2017,9,17,0,0,0,82.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,2,2,6,37,68.99210956779831,105.32022105173739,91.72615428160216,74.39537100596621,68.99210956779831,105.32022105173739,85.10846397677602,16.601367307793563,-0.03652355866302844,-0.18854171170717546,0,4,0.19279599868685443,0,0
0,3,2017,9,19,0,0,0,177.5,1,False,False,False,False,True,False,False,False,False,False,False,True,True,2,2,1,38,195.15603715775245,194.99316036767257,155.611803234219,204.864116321551,155.611803234219,204.864116321551,187.65627927029877,21.855848134361082,-0.05412171289866478,-0.14065897516036108,0,4,0.11585009637048414,0,0
0,107,2018,11,13,0,0,0,87.5,1,False,False,False,False,False,False,False,False,False,False,False,True,True,2,4,1,46,78.61359597841347,79.61536864438891,95.82468223516594,116.88231883960854,78.61359597841347,116.88231883960854,92.73399142439422,17.927427012217237,-0.05644091604383791,-0.11303902220713385,0,4,0.19125854708403717,0,0
0,56,2018,12,7,0,0,0,82.44,1,False,False,True,False,False,False,False,False,False,False,False,True,True,2,3,4,49,70.06771252982496,73.90641333368293,70.31841470594142,70.51208784065754,70.06771252982496,73.90641333368293,71.20115710252671,1.8126553691549394,0.15784635186883023,-0.17657615788311432,0,4,0.02510562769210114,0,1
0,2,2018,1,9,0,0,0,69.5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,1,2,87.32587062598905,75.0705350889776,60.297716639489224,59.83079374067551,59.83079374067551,87.32587062598905,70.63122902378285,13.189002705126832,-0.01601598951933775,-0.16160919243748814,0,4,0.1841236411111674,0,0
0,72,2018,10,7,0,0,0,85.5,0,False,False,False,False,False,False,False,False,False,False,True,False,True,2,2,6,40,108.08830786082243,108.54236307101006,96.63204498173687,74.633229609246,74.633229609246,108.54236307101006,96.97398638070382,15.880615209052959,-0.11832025070784291,-0.14560230674256872,0,4,0.16209011999720652,1,0
1,23,2018,4,27,0,0,0,115.0,1,False,True,False,False,False,False,False,False,False,False,False,True,True,2,1,4,17,137.0642197153608,94.19404943139028,118.07303078639232,115.8471753463102,94.19404943139028,137.0642197153608,116.29461881986339,17.54208694765895,-0.01113223322799407,-0.2208839167039368,0,4,0.14955576925996428,0,0
