required_car_parking_space,lead_time,arrival_year,arrival_month,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status_Canceled,booking_status_Not_Canceled,total_guests,total_nights,arrival_date_num,adjusted_price,booking_ratio,price_per_guest,stay_density,arrival_month_sin,arrival_month_cos,meal_plan_category,meal_plan_category_num,market_segment_group,room_economy,room_standard,room_premium,room_category,room_category_num,customer_cluster
0,224,2017,10,0,0,0,65.0,0,0,1,2,3,736604,74.75,0.0,32.5,0.013333333333333334,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,2
0,5,2018,11,0,0,0,106.68,1,0,1,2,5,737004,122.682,0.0,53.34,0.8333333333333334,-0.5000000000000004,0.8660254037844384,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,1,2018,2,0,0,0,60.0,0,1,0,1,3,736753,69.0,0.0,60.0,1.5,0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,211,2018,5,0,0,0,100.0,0,1,0,2,2,736834,114.99999999999999,0.0,50.0,0.009433962264150943,0.49999999999999994,-0.8660254037844387,Desayuno,0,Leisure,1,0,0,Económica,0,2
0,48,2018,4,0,0,0,94.5,0,1,0,2,2,736795,108.675,0.0,47.25,0.04081632653061224,0.8660254037844387,-0.4999999999999998,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,346,2018,9,0,0,0,115.0,1,1,0,2,2,736950,132.25,0.0,57.5,0.005763688760806916,-1.0,-1.8369701987210297e-16,Media Pensión,1,Leisure,1,0,0,Económica,0,2
0,34,2017,10,0,0,0,107.55,1,0,1,2,4,736617,123.68249999999999,0.0,53.775,0.11428571428571428,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,83,2018,12,0,0,0,105.61,1,0,1,2,4,737054,121.4515,0.0,52.805,0.047619047619047616,-2.4492935982947064e-16,1.0,Desayuno,0,Leisure,0,1,0,Estándar,1,0
0,121,2018,7,0,0,0,96.9,1,0,1,3,4,736881,111.435,0.0,32.300000000000004,0.03278688524590164,-0.4999999999999997,-0.8660254037844388,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,44,2018,10,0,0,0,133.44,3,0,1,2,5,736985,153.456,0.0,66.72,0.1111111111111111,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,0,2018,9,0,0,0,85.03,0,0,1,1,1,736948,97.7845,0.0,85.03,1.0,-1.0,-1.8369701987210297e-16,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,35,2018,4,0,0,0,140.4,1,0,1,1,3,736814,161.46,0.0,140.4,0.08333333333333333,0.8660254037844387,-0.4999999999999998,Desayuno,0,Leisure,0,1,0,Estándar,1,1
0,30,2018,11,0,0,0,88.0,0,1,0,2,3,737024,101.19999999999999,0.0,44.0,0.0967741935483871,-0.5000000000000004,0.8660254037844384,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,95,2018,11,0,0,0,90.0,2,1,0,1,2,737018,103.49999999999999,0.0,90.0,0.020833333333333332,-0.5000000000000004,0.8660254037844384,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,47,2017,10,0,0,0,94.5,2,0,1,2,2,736622,108.675,0.0,47.25,0.041666666666666664,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,256,2018,6,0,0,0,115.0,1,1,0,2,2,736860,132.25,0.0,57.5,0.007782101167315175,1.2246467991473532e-16,-1.0,Media Pensión,1,Leisure,1,0,0,Económica,0,2
0,0,2017,10,0,0,0,96.0,0,0,1,1,1,736607,110.39999999999999,0.0,96.0,1.0,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,1,2017,8,0,0,0,96.0,1,0,1,2,4,736551,110.39999999999999,0.0,48.0,2.0,-0.8660254037844385,-0.5000000000000004,Sin Comida,2,Leisure,1,0,0,Económica,0,1
0,99,2017,10,0,0,0,65.0,0,1,0,2,4,736632,74.75,0.0,32.5,0.04,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,12,2017,10,0,0,0,72.0,0,0,1,2,1,736606,82.8,0.0,36.0,0.07692307692307693,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,99,2017,10,0,0,0,65.0,0,1,0,2,4,736632,74.75,0.0,32.5,0.04,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,0
0,122,2018,11,0,0,0,67.0,0,0,1,1,1,737023,77.05,0.0,67.0,0.008130081300813009,-0.5000000000000004,0.8660254037844384,Desayuno,0,Business,1,0,0,Económica,0,0
0,2,2018,3,0,0,0,85.0,0,0,1,2,6,736773,97.74999999999999,0.0,42.5,2.0,1.0,6.123233995736766e-17,Desayuno,0,Leisure,1,0,0,Económica,0,1
0,37,2018,10,0,0,0,105.0,0,0,1,2,3,736980,120.74999999999999,0.0,52.5,0.07894736842105263,-0.8660254037844386,0.5000000000000001,Desayuno,0,Leisure,1,0,0,Económica,0,1
