iter	Passed	Remaining
0	8	6576
1	16	6701
2	25	6699
3	34	6790
4	42	6787
5	51	6845
6	59	6797
7	69	6856
8	77	6803
9	86	6816
10	95	6841
11	104	6842
12	112	6849
13	121	6828
14	130	6843
15	139	6847
16	148	6868
17	157	6843
18	166	6865
19	175	6855
20	184	6859
21	193	6845
22	202	6849
23	211	6862
24	221	6865
25	230	6868
26	239	6852
27	248	6867
28	257	6867
29	267	6865
30	276	6855
31	284	6841
32	294	6846
33	303	6838
34	312	6836
35	320	6819
36	329	6808
37	338	6801
38	348	6804
39	357	6805
40	366	6793
41	375	6788
42	384	6783
43	394	6784
44	403	6780
45	413	6790
46	423	6793
47	432	6786
48	442	6784
49	450	6769
50	460	6768
51	469	6763
52	479	6762
53	488	6759
54	497	6742
55	506	6736
56	515	6723
57	524	6714
58	533	6704
59	542	6700
60	551	6693
61	561	6687
62	570	6681
63	579	6676
64	589	6669
65	597	6658
66	606	6647
67	615	6638
68	625	6630
69	634	6621
70	643	6616
71	653	6613
72	661	6600
73	671	6595
74	680	6585
75	689	6578
76	698	6566
77	708	6564
78	717	6554
79	726	6550
80	735	6539
81	744	6529
82	754	6523
83	762	6512
84	772	6509
85	781	6500
86	791	6492
87	800	6486
88	809	6476
89	818	6469
90	828	6461
91	837	6451
92	846	6444
93	860	6475
94	871	6479
95	882	6479
96	891	6471
97	900	6463
98	910	6455
99	920	6453
100	930	6450
101	941	6452
102	951	6449
103	961	6442
104	972	6444
105	983	6451
106	995	6458
107	1005	6450
108	1016	6454
109	1025	6444
110	1036	6440
111	1045	6431
112	1054	6420
113	1064	6414
114	1073	6404
115	1083	6396
116	1092	6389
117	1103	6384
118	1112	6377
119	1122	6367
120	1131	6359
121	1141	6350
122	1150	6342
123	1159	6332
124	1168	6320
125	1178	6311
126	1186	6298
127	1196	6289
128	1205	6279
129	1214	6271
130	1223	6259
131	1233	6253
132	1243	6245
133	1252	6234
134	1261	6225
135	1270	6212
136	1279	6203
137	1289	6194
138	1298	6186
139	1308	6176
140	1317	6166
141	1326	6157
142	1336	6147
143	1345	6137
144	1354	6126
145	1363	6119
146	1373	6109
147	1382	6099
148	1391	6089
149	1400	6078
150	1410	6072
151	1420	6063
152	1429	6053
153	1438	6043
154	1447	6032
155	1456	6024
156	1465	6012
157	1475	6002
158	1483	5991
159	1493	5984
160	1503	5977
161	1513	5968
162	1522	5958
163	1531	5948
164	1540	5939
165	1549	5928
166	1559	5919
167	1568	5908
168	1577	5899
169	1587	5891
170	1596	5881
171	1606	5873
172	1615	5866
173	1625	5855
174	1633	5845
175	1643	5835
176	1652	5826
177	1661	5815
178	1671	5807
179	1680	5796
180	1689	5787
181	1698	5776
182	1707	5767
183	1716	5755
184	1726	5747
185	1735	5738
186	1744	5727
187	1753	5718
188	1762	5707
189	1772	5698
190	1781	5688
191	1790	5679
192	1799	5667
193	1807	5656
194	1816	5645
195	1825	5635
196	1835	5626
197	1844	5616
198	1853	5607
199	1862	5596
200	1871	5586
201	1880	5576
202	1889	5566
203	1898	5556
204	1907	5546
205	1916	5536
206	1925	5526
207	1935	5517
208	1944	5508
209	1954	5501
210	1965	5496
211	1974	5485
212	1984	5477
213	1993	5466
214	2002	5458
215	2012	5450
216	2021	5439
217	2030	5431
218	2039	5420
219	2046	5404
220	2054	5393
221	2064	5384
222	2073	5373
223	2082	5364
224	2091	5354
225	2101	5346
226	2110	5336
227	2119	5325
228	2128	5316
229	2137	5306
230	2146	5297
231	2156	5288
232	2165	5278
233	2173	5267
234	2183	5258
235	2192	5248
236	2201	5238
237	2210	5228
238	2219	5218
239	2228	5209
240	2237	5199
241	2246	5189
242	2256	5180
243	2265	5171
244	2274	5162
245	2283	5151
246	2292	5142
247	2301	5133
248	2311	5123
249	2320	5113
250	2329	5104
251	2338	5094
252	2347	5085
253	2358	5079
254	2367	5069
255	2377	5061
256	2386	5051
257	2396	5043
258	2404	5032
259	2413	5022
260	2422	5012
261	2431	5002
262	2440	4992
263	2449	4982
264	2458	4973
265	2468	4964
266	2477	4955
267	2486	4945
268	2496	4936
269	2505	4927
270	2514	4917
271	2523	4908
272	2532	4898
273	2542	4890
274	2551	4881
275	2561	4872
276	2571	4863
277	2580	4853
278	2589	4844
279	2597	4834
280	2607	4825
281	2616	4814
282	2625	4806
283	2635	4796
284	2644	4787
285	2653	4778
286	2662	4768
287	2671	4759
288	2681	4750
289	2690	4741
290	2699	4731
291	2708	4722
292	2718	4712
293	2727	4702
294	2736	4694
295	2745	4683
296	2755	4676
297	2764	4666
298	2774	4658
299	2784	4649
300	2793	4639
301	2802	4630
302	2811	4621
303	2821	4612
304	2830	4603
305	2839	4594
306	2849	4584
307	2858	4575
308	2867	4565
309	2876	4556
310	2886	4547
311	2895	4538
312	2905	4529
313	2914	4520
314	2923	4511
315	2933	4501
316	2942	4492
317	2951	4483
318	2960	4473
319	2969	4464
320	2979	4455
321	2988	4445
322	2997	4436
323	3007	4427
324	3017	4418
325	3025	4409
326	3035	4400
327	3044	4390
328	3053	4380
329	3062	4371
330	3071	4361
331	3080	4352
332	3090	4342
333	3099	4333
334	3108	4324
335	3118	4315
336	3127	4306
337	3136	4296
338	3145	4286
339	3154	4276
340	3163	4267
341	3171	4257
342	3181	4247
343	3190	4238
344	3200	4229
345	3209	4220
346	3218	4210
347	3227	4201
348	3236	4191
349	3245	4181
350	3254	4172
351	3265	4165
352	3274	4156
353	3283	4146
354	3293	4137
355	3302	4127
356	3311	4118
357	3320	4109
358	3330	4100
359	3339	4091
360	3349	4081
361	3358	4072
362	3367	4063
363	3376	4053
364	3385	4043
365	3394	4034
366	3404	4025
367	3413	4016
368	3422	4007
369	3431	3997
370	3440	3988
371	3449	3978
372	3459	3969
373	3468	3959
374	3477	3950
375	3486	3941
376	3495	3931
377	3505	3922
378	3514	3913
379	3523	3904
380	3532	3894
381	3542	3885
382	3552	3876
383	3560	3866
384	3570	3858
385	3579	3848
386	3588	3838
387	3597	3829
388	3606	3819
389	3615	3810
390	3625	3801
391	3634	3791
392	3642	3781
393	3651	3772
394	3660	3762
395	3669	3753
396	3678	3743
397	3687	3734
398	3696	3724
399	3707	3716
400	3716	3707
