lead_time,arrival_year,arrival_month,arrival_date,arrival_week_number,arrival_day_of_week,stays_in_weekend_nights,stays_in_week_nights,total_guests,total_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,required_car_parking_spaces,total_of_special_requests,room_type_value,meal_plan_value,market_segment_value,distribution_channel_value,customer_type_value,deposit_type_value,booking_status_Not_Canceled,avg_price_per_room
7,2015,7,1,27,6,0,1,1.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,75.0
13,2015,7,1,27,3,0,1,1.0,1,1,0.0,0,0,0,0,0,0,0,0,1,0,1.0,1,0,0,1,75.0
14,2015,7,1,27,4,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,98.0
14,2015,7,1,27,6,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,1,98.0
0,2015,7,1,27,2,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,0,3,0,0.0,0,0,0,1,107.0
9,2015,7,1,27,4,0,2,2.0,2,2,0.0,0,0,0,0,0,0,0,1,3,2,0.0,0,0,0,1,103.0
85,2015,7,1,27,4,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,1,1,0,2.0,2,0,0,0,82.0
75,2015,7,1,27,6,0,3,2.0,3,2,0.0,0,0,0,0,0,0,0,0,4,1,3.0,2,0,0,0,105.5
23,2015,7,1,27,1,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,0,123.0
35,2015,7,1,27,2,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,0,4,1,2.0,2,0,0,1,145.0
68,2015,7,1,27,6,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,3,4,0,2.0,2,0,0,1,97.0
18,2015,7,1,27,2,0,4,3.0,4,2,1.0,0,0,0,0,1,0,0,1,7,1,2.0,2,0,0,1,154.77
37,2015,7,1,27,2,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,0,5,0,2.0,2,0,0,1,94.71
68,2015,7,1,27,4,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,3,4,0,2.0,2,0,0,1,97.0
37,2015,7,1,27,3,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,0,5,0,3.0,2,3,0,1,97.5
12,2015,7,1,27,2,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,88.2
0,2015,7,1,27,5,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,1,0,1.0,1,0,0,1,107.42
7,2015,7,1,27,4,0,4,2.0,4,2,0.0,0,0,0,0,0,0,0,1,7,0,0.0,0,0,0,1,153.0
37,2015,7,1,27,1,1,4,1.0,5,1,0.0,0,0,0,0,0,0,0,1,6,0,2.0,2,0,0,1,97.29
72,2015,7,1,27,3,2,4,2.0,6,2,0.0,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,1,84.67
72,2015,7,1,27,5,2,4,2.0,6,2,0.0,0,0,0,0,1,0,0,1,1,0,0.0,0,0,0,1,84.67
72,2015,7,1,27,5,2,4,2.0,6,2,0.0,0,0,0,0,1,0,0,1,4,0,0.0,0,0,0,1,99.67
127,2015,7,1,27,1,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,4,1,3.0,2,3,0,1,94.95
78,2015,7,1,27,3,2,5,2.0,7,2,0.0,0,0,0,0,0,0,1,0,4,0,3.0,2,0,0,1,63.6
48,2015,7,1,27,4,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,79.5
60,2015,7,1,27,0,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,5,0,2.0,2,0,0,0,107.0
77,2015,7,1,27,3,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,94.0
99,2015,7,1,27,1,2,5,2.0,7,2,0.0,0,0,0,0,0,0,1,1,4,0,2.0,2,0,0,1,87.3
118,2015,7,1,27,5,4,10,1.0,14,1,0.0,0,0,0,0,2,0,0,2,1,0,0.0,0,0,0,1,62.0
95,2015,7,1,27,4,4,11,2.0,15,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,0,0,1,63.86
96,2015,7,1,27,3,2,8,2.0,10,2,0.0,0,0,0,0,0,0,0,2,5,0,0.0,0,0,0,0,108.3
69,2015,7,2,27,0,2,4,2.0,6,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,0,0,1,65.5
45,2015,7,2,27,0,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,0,108.8
40,2015,7,2,27,2,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,0,108.8
15,2015,7,2,27,2,1,3,2.0,4,2,0.0,0,0,0,0,0,0,0,0,1,0,2.0,2,0,0,1,98.0
36,2015,7,2,27,6,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,1,4,0,2.0,2,0,0,1,108.8
43,2015,7,2,27,1,1,3,3.0,4,3,0.0,0,0,0,0,0,0,0,0,4,0,2.0,2,0,0,0,108.8
70,2015,7,2,27,3,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,1,5,1,0.0,0,0,0,1,137.0
45,2015,7,2,27,3,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,0,7,0,2.0,2,0,0,0,117.81
45,2015,7,2,27,6,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,79.5
16,2015,7,2,27,5,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,0,6,0,0.0,0,0,0,1,123.0
70,2015,7,2,27,5,2,3,2.0,5,2,0.0,0,0,0,0,0,0,0,1,5,1,0.0,0,0,0,1,137.0
107,2015,7,2,27,6,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,110.7
47,2015,7,2,27,5,2,5,4.0,7,2,2.0,0,0,0,0,0,0,0,0,7,0,2.0,2,0,0,0,153.0
96,2015,7,2,27,2,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,1,1,0,3.0,2,0,0,1,58.95
113,2015,7,2,27,3,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,5,0,3.0,2,1,0,1,82.88
90,2015,7,2,27,6,2,5,2.0,7,2,0.0,0,0,0,0,1,0,0,0,1,1,3.0,2,3,0,1,82.35
50,2015,7,2,27,3,2,5,2.0,7,2,0.0,0,0,0,0,1,0,0,1,5,1,2.0,2,0,0,1,119.35
113,2015,7,2,27,0,2,5,2.0,7,2,0.0,0,0,0,0,0,0,0,2,4,0,3.0,2,1,0,1,67.58
93,2015,7,2,27,2,3,8,2.0,11,2,0.0,0,0,0,0,0,0,0,0,1,0,3.0,2,3,0,1,56.01
76,2015,7,2,27,4,4,10,2.0,14,2,0.0,0,0,0,0,0,0,0,0,4,0,3.0,2,3,0,1,110.7
3,2015,7,2,27,2,0,1,2.0,1,2,0.0,0,0,0,0,0,0,1,0,1,0,2.0,2,0,0,1,88.2
1,2015,7,2,27,6,0,1,2.0,1,2,0.0,0,0,0,0,0,0,1,0,8,0,2.0,2,0,0,1,147.0
1,2015,7,2,27,4,0,1,4.0,1,2,2.0,0,0,0,0,0,0,1,2,3,0,0.0,0,0,0,1,107.0
0,2015,7,2,27,0,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,8,0,0.0,0,0,0,1,147.0
0,2015,7,2,27,6,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,2,1,0,2.0,2,0,0,1,117.9
0,2015,7,2,27,1,0,1,2.0,1,2,0.0,0,0,0,0,0,0,0,0,7,0,0.0,0,0,0,1,123.0
